Sep  7 00:40:47 Dawids-MacBook-Air newsyslog[24685]: logfile turned over
Sat Sep  7 00:40:48.084 Usb Host Notification Apple80211Set: seqNum 1610 Total 8 chg 1 en0
Sat Sep  7 00:40:48.220 Usb Host Notification Apple80211Set: seqNum 1611 Total 8 chg 1 en0
Sat Sep  7 00:40:48.255 [airport] @[460993.707233] (airportProcessCommand.m:1381) Processing event, count[ 19]
Sat Sep  7 00:40:48.264 [airport] @[460993.715663] (airportProcessCommand.m:1667) Processed events, count[ 19], @[460993.707195], took 0.008448
Sat Sep  7 00:40:50.543 [airport] @[460995.994835] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:40:50.543 [airport] @[460995.995068] (airportProcessCommand.m:1667) Processed events, count[  1], @[460995.994775], took 0.000271
Sat Sep  7 00:42:36.316 [airport] @[461101.767897] (airportProcessCommand.m:1381) Processing event, count[  2]
Sat Sep  7 00:42:36.317 [airport] @[461101.768988] (airportProcessCommand.m:1667) Processed events, count[  2], @[461101.767856], took 0.001113
Sat Sep  7 00:42:36.318 [airport] @[461101.769116] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:42:36.318 [airport] @[461101.769246] (airportProcessCommand.m:1667) Processed events, count[  1], @[461101.769086], took 0.000142
Sat Sep  7 00:42:36.318 [airport] @[461101.769615] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:42:36.318 [airport] @[461101.769744] (airportProcessCommand.m:1667) Processed events, count[  1], @[461101.769591], took 0.000138
Sat Sep  7 00:42:36.319 [airport] @[461101.770244] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:42:36.319 [airport] @[461101.770375] (airportProcessCommand.m:1667) Processed events, count[  1], @[461101.770216], took 0.000143
Sat Sep  7 00:42:36.319 [airport] @[461101.770699] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:42:36.319 [airport] @[461101.770822] (airportProcessCommand.m:1667) Processed events, count[  1], @[461101.770673], took 0.000133
Sat Sep  7 00:42:36.320 [airport] @[461101.771215] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:42:36.320 [airport] @[461101.771364] (airportProcessCommand.m:1667) Processed events, count[  1], @[461101.771191], took 0.000155
Sat Sep  7 00:42:36.320 [airport] @[461101.771668] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:42:36.320 [airport] @[461101.771872] (airportProcessCommand.m:1667) Processed events, count[  1], @[461101.771647], took 0.000177
Sat Sep  7 00:42:36.321 [airport] @[461101.772137] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:42:36.321 [airport] @[461101.772256] (airportProcessCommand.m:1667) Processed events, count[  1], @[461101.772116], took 0.000123
Sat Sep  7 00:42:36.321 [airport] @[461101.772938] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:42:36.322 [airport] @[461101.773164] (airportProcessCommand.m:1667) Processed events, count[  1], @[461101.772908], took 0.000237
Sat Sep  7 00:42:36.322 [airport] @[461101.773361] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:42:36.322 [airport] @[461101.773499] (airportProcessCommand.m:1667) Processed events, count[  1], @[461101.773337], took 0.000143
Sat Sep  7 00:42:36.322 [airport] @[461101.773933] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:42:36.323 [airport] @[461101.774148] (airportProcessCommand.m:1667) Processed events, count[  1], @[461101.773906], took 0.000225
Sat Sep  7 00:42:36.323 [airport] @[461101.774451] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:42:36.324 [airport] @[461101.775899] (airportProcessCommand.m:1667) Processed events, count[  1], @[461101.774426], took 0.001386
Sat Sep  7 00:42:36.324 [airport] @[461101.776035] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:42:36.325 [airport] @[461101.776203] (airportProcessCommand.m:1667) Processed events, count[  1], @[461101.776010], took 0.000177
Sat Sep  7 00:42:36.325 [airport] @[461101.776293] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:42:36.325 [airport] @[461101.776443] (airportProcessCommand.m:1667) Processed events, count[  1], @[461101.776270], took 0.000156
Sat Sep  7 00:42:36.325 [airport] @[461101.776520] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:42:36.325 [airport] @[461101.776617] (airportProcessCommand.m:1667) Processed events, count[  1], @[461101.776501], took 0.000099
Sat Sep  7 00:42:36.325 [airport] @[461101.776964] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:42:36.326 [airport] @[461101.777114] (airportProcessCommand.m:1667) Processed events, count[  1], @[461101.776937], took 0.000161
Sat Sep  7 00:42:36.326 [airport] @[461101.777471] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:42:36.326 [airport] @[461101.777553] (airportProcessCommand.m:1667) Processed events, count[  1], @[461101.777455], took 0.000084
Sat Sep  7 00:42:36.326 [airport] @[461101.778056] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:42:36.327 [airport] @[461101.778147] (airportProcessCommand.m:1667) Processed events, count[  1], @[461101.778037], took 0.000097
Sat Sep  7 00:42:36.327 [airport] @[461101.778420] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:42:36.327 [airport] @[461101.778508] (airportProcessCommand.m:1667) Processed events, count[  1], @[461101.778403], took 0.000093
Sat Sep  7 00:42:36.327 [airport] @[461101.778983] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:42:36.328 [airport] @[461101.779172] (airportProcessCommand.m:1667) Processed events, count[  1], @[461101.778965], took 0.000190
Sat Sep  7 00:42:36.328 [airport] @[461101.779420] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:42:36.328 [airport] @[461101.779644] (airportProcessCommand.m:1667) Processed events, count[  1], @[461101.779403], took 0.000122
Sat Sep  7 00:42:36.328 [airport] @[461101.779877] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:42:36.328 [airport] @[461101.779962] (airportProcessCommand.m:1667) Processed events, count[  1], @[461101.779857], took 0.000092
Sat Sep  7 00:42:36.329 [airport] @[461101.780326] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:42:36.329 [airport] @[461101.780417] (airportProcessCommand.m:1667) Processed events, count[  1], @[461101.780307], took 0.000098
Sat Sep  7 00:42:36.329 [airport] @[461101.780773] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:42:36.329 [airport] @[461101.780862] (airportProcessCommand.m:1667) Processed events, count[  1], @[461101.780755], took 0.000095
Sat Sep  7 00:42:36.330 [airport] @[461101.781256] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:42:36.330 [airport] @[461101.781355] (airportProcessCommand.m:1667) Processed events, count[  1], @[461101.781233], took 0.000109
Sat Sep  7 00:42:36.330 [airport] @[461101.781808] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:42:36.330 [airport] @[461101.781874] (airportProcessCommand.m:1667) Processed events, count[  1], @[461101.781720], took 0.000145
Sat Sep  7 00:42:36.331 [airport] @[461101.782275] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:42:36.331 [airport] @[461101.782345] (airportProcessCommand.m:1667) Processed events, count[  1], @[461101.782216], took 0.000121
Sat Sep  7 00:42:36.331 [airport] @[461101.782685] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:42:36.331 [airport] @[461101.782756] (airportProcessCommand.m:1667) Processed events, count[  1], @[461101.782668], took 0.000079
Sat Sep  7 00:42:36.331 [airport] @[461101.782969] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:42:36.331 [airport] @[461101.783029] (airportProcessCommand.m:1667) Processed events, count[  1], @[461101.782957], took 0.000063
Sat Sep  7 00:42:36.332 [airport] @[461101.783389] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:42:36.332 [airport] @[461101.783493] (airportProcessCommand.m:1667) Processed events, count[  1], @[461101.783376], took 0.000108
Sat Sep  7 00:42:36.332 [airport] @[461101.783538] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:42:36.333 [airport] @[461101.784257] (airportProcessCommand.m:1667) Processed events, count[  1], @[461101.783528], took 0.000715
Sat Sep  7 00:42:36.333 [airport] @[461101.784325] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:42:36.333 [airport] @[461101.784383] (airportProcessCommand.m:1667) Processed events, count[  1], @[461101.784313], took 0.000061
Sat Sep  7 00:42:36.333 [airport] @[461101.784424] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:42:36.333 [airport] @[461101.784512] (airportProcessCommand.m:1667) Processed events, count[  1], @[461101.784414], took 0.000089
